게임 이름	게임 Id	소스			
Prey	52d88e9a6df248da913c8e99f1e4c526	Epic	16시간 22분	27시간 54분	46시간 18분
Prismata	490220	Steam	--	--	--
Project Zomboid	108600	Steam	60시간 20분	157시간 22분	433시간 6분
PUBG: Battlegrounds	578080	Steam	104시간 15분	250시간 44분	508시간 17분
PUBG: Experimental Server	813000	Steam	데이터 없음		
PUBG: Test Server	622590	Steam	데이터 없음		
Realms of Arkania 2 - Star Trail Classic	270750	Steam	29시간 1분	47시간 45분	60시간 0분
Realms of Arkania III: Shadows over Riva	270760	Steam	데이터 없음		
Realms of Arkania: Blade of Destiny	267670	Steam	데이터 없음		
Rebel Cops	970960	Steam	14시간 9분	19시간 32분	27시간 31분
Red Dead Redemption 2	1174180	Steam	50시간 43분	84시간 37분	193시간 52분
Resident Evil 2 "R.P.D. Demo"	1168280	Steam	32 분	38 분	43 분
RESIDENT EVIL 3 RE:3	22bc3525-97b1-4722-b628-63ad47434741	DRM-free	데이터 없음		
RESIDENT EVIL 4 RE:4	bff1e6e1-adc4-421f-a09f-91fb4d4b479b	DRM-free	데이터 없음		
Retsnom	382920	Steam	--	--	--
Riichi City	ff5d87c8-cf1b-43e2-a804-1d6f58c48bd1	폰겜	데이터 없음		
Rise of the Tomb Raider	f7cc1c999ac146f39b356f53e3489514	Epic	14시간 11분	23시간 42분	38시간 38분
Roadwarden	1155970	Steam	11시간 37분	19시간 23분	31시간 45분
Rogue Legacy	241600	Steam	16시간 26분	26시간 21분	38시간 57분
RollerCoaster Tycoon 2: Triple Thrill Pack	285330	Steam	19시간 21분	45시간 0분	91시간 50분
RollerCoaster Tycoon 3: Complete Edition	281a47e363284108b82bf05c1a612145	Epic	20시간 28분	57시간 29분	190시간 1분
S.T.A.L.K.E.R.: Call of Pripyat	41700	Steam	15시간 4분	23시간 34분	31시간 40분
S.T.A.L.K.E.R.: Call of Prypiat - Enhanced Edition	2427430	Steam	15시간 4분	23시간 34분	31시간 40분
